"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"St3rb3n","2054890",46,0,FALSE,11,3,49,1,2,0,0,0,1,19.142,92.21,0,92.21,0,0,0
"Missmeow","2307408",40,1,FALSE,20,9,91,3,3,0,0,0,1,40.656,114.49,0,114.49,0,0,0
"ThaRipper","2732095",64,1,FALSE,3,2,48,0,2,0,0,0,2,7.906,11.38,0,11.38,0,0,0
"tokenman","2732099",47,2,FALSE,1,7,24,0,2,0,0,0,0,1.909,2.63,0,2.63,0,0,0
"KungFuSoldier","2742179",51,1,FALSE,4,2,30,2,2,0,0,0,1,2.549,31.2,0,31.2,0,0,0
"Tim_flips","2753389",75,1,FALSE,10,10,80,0,3,0,0,0,1,9.621,56.09,0,56.09,0,0,0
"Shotymee_","3019089",45,2,FALSE,1,0,23,0,7,0,0,0,3,2.533,2.97,0,2.97,0,0,0
"arlestal_h","3020358",47,1,FALSE,1,0,22,0,0,0,0,0,1,0.794,2.22,0,2.22,0,0,0
"Casual_cactus","3021012",40,0,FALSE,14,12,75,1,5,0,0,0,2,15.695,68.46,0,68.46,0,0,0
"tazerek","3099940",41,0,FALSE,1,0,30,0,1,0,0,0,1,1.559,3.56,0,3.56,0,0,0
"Xandurr","3172459",30,0,FALSE,1,0,18,0,1,0,0,0,0,0.585,2.51,0,2.51,0,0,0
"TheGameingashes","3177894",33,1,FALSE,1,1,37,1,1,0,0,0,1,9.574,4.97,0,4.97,0,0,0
"Serenity_Elise","3252471",33,0,FALSE,7,1,57,1,2,1,0,0,0,11.883,34.79,0,34.79,0,0,0
"Balsac69","3266765",34,2,FALSE,3,4,61,1,2,0,2,0,1,6.616,13.23,0,13.23,0,0,0
"D1LLZ4H","3353844",20,2,FALSE,1,4,55,0,2,0,0,0,0,2.173,2.41,0,2.41,0,0,0
"xentac","3354782",25,1,FALSE,11,3,77,3,3,0,0,0,1,25.122,80.98,0,80.98,0,0,0
"TheD123","3410726",19,1,FALSE,11,25,67,0,2,0,0,0,1,20.642,51.06,0,51.06,0,0,0
"Okumaru","2711819",30,2,FALSE,0,3,17,0,2,0,0,0,1,2.734,0,0,0,0,0,0
"LjBosHaynes","3199863",38,3,FALSE,0,60,29,0,2,0,0,0,0,11.874,0,0,0,0,0,0
"Burmeseblob","2957694",26,1,FALSE,0,1,15,0,1,0,0,0,1,5.312,0,0,0,0,0,0
"RipsG","3357265",20,1,FALSE,0,3,40,0,0,0,0,0,0,3.446,0,0,0,0,0,0
