"Name","ID","Level","Prep_Xanax","Prep_Overdose","War_Hits","Non_War_Hits","Hospital","Assists","War_Xanax","War_Overdose","Boosters","Cans","Refills","Activity","Respect","Respect_Lost","Score_Up","Score_Down","E_Wasted","E_Stolen"
"Fergy","312606",89,8,FALSE,73,0,0,1,3,0,0,0,2,11.997,423.97,0,423.97,0,0,0
"St3rb3n","2054890",47,0,FALSE,24,0,5,5,1,0,0,0,1,8.056,172.65,0,172.65,0,0,0
"Missmeow","2307408",40,4,FALSE,69,0,13,4,3,0,0,0,1,10.989,725.04,0,725.04,0,0,0
"Okumaru","2711819",30,1,FALSE,5,1,5,0,0,0,0,0,0,0.957,24.39,0,24.39,0,0,0
"ThaRipper","2732095",65,3,FALSE,47,0,28,1,1,0,0,1,1,9.883,472.25,0,472.25,0,0,0
"tokenman","2732099",47,5,FALSE,5,1,8,0,2,0,0,0,1,1.157,31.49,0,31.49,0,0,0
"KungFuSoldier","2742179",51,0,FALSE,3,0,5,1,0,0,0,0,0,1.683,21.88,0,21.88,0,0,0
"Tim_flips","2753389",75,5,FALSE,41,1,4,3,3,0,0,0,1,3.596,302.91,0,302.91,0,0,0
"Fakuh","2957694",27,4,FALSE,12,20,3,2,1,0,0,0,0,4.555,154.97,0,154.97,0,0,0
"Shotymee_","3019089",46,6,TRUE,31,1,8,1,1,0,0,0,2,3.696,160.5,0,160.5,0,0,0
"arlestal_h","3020358",47,3,FALSE,7,6,5,0,0,0,0,0,0,0.981,46.91,0,46.91,0,0,0
"Casual_cactus","3021012",41,3,FALSE,30,6,9,3,2,0,0,0,0,7.003,327.89,0,327.89,0,0,0
"tazerek","3099940",42,1,FALSE,9,0,8,0,0,0,0,0,0,1.299,66.65,0,66.65,0,0,0
"Xandurr","3172459",31,3,FALSE,9,1,6,0,0,0,0,0,0,1.008,80.8,0,80.8,0,0,0
"TheGameingashes","3177894",34,4,FALSE,13,4,6,5,0,0,0,0,0,5.393,117.18,0,117.18,0,0,0
"LjBosHaynes","3199863",39,9,FALSE,12,4,9,2,1,1,0,0,0,6.007,116.4,0,116.4,0,0,0
"Macaria","3252471",35,6,FALSE,39,0,6,3,1,1,0,0,1,6.099,357.35,0,357.35,0,0,0
"Balsac69","3266765",35,6,FALSE,47,0,16,1,1,0,0,1,2,6.267,502.36,0,502.36,0,0,0
"D1LLZ4H","3353844",21,4,FALSE,1,1,8,1,0,0,0,0,0,2.242,11.61,0,11.61,0,0,0
"xentac","3354782",26,8,FALSE,9,0,11,0,3,0,0,0,2,6.159,75.62,0,75.62,0,0,0
"RipsG","3357265",21,2,TRUE,4,0,3,1,0,0,0,0,0,1.455,40.51,0,40.51,0,0,0
"TheD123","3410726",21,5,FALSE,11,12,14,6,1,0,0,2,1,12.543,142.55,0,142.55,0,0,0
