"attacker_name","attacker_id","Assist","Attacked","Escape","Hospitalized","Interrupted","Lost","Mugged","Special","Stalemate","war","retals","overseas","avg_fair_fight","warlord_hits"
"Ap3-5hizz","1678160",3,43,0,0,0,6,47,0,0,32,0,0,1.54,0
"B_Man","533153",0,22,0,0,0,0,0,0,0,0,0,0,2.39,0
"Chronic7","795535",4,133,0,13,0,24,0,0,0,102,13,4,1.73,93
"DeathSaysSo","1610555",2,103,0,2,1,5,1,0,0,40,1,0,1.21,103
"Decules","3227739",3,96,0,0,0,7,0,0,0,27,0,0,1.89,89
"Fergy","312606",2,149,0,23,0,1,0,0,2,106,9,0,2.02,158
"HashHomie","2063017",2,80,0,4,0,5,0,0,0,44,2,0,1.59,71
"Hol","2811818",8,52,1,2,0,5,0,0,1,24,2,0,1.57,41
"KillaPat","1690773",0,22,0,0,0,0,4,0,1,4,0,0,1.32,0
"Missmeow","2307408",6,114,0,0,0,7,0,0,0,108,0,2,2.03,75
"Murphy4709","3320501",0,1,0,0,0,2,0,0,0,1,0,0,1.67,0
"OneSixtyFive","227309",0,13,0,0,0,2,0,0,1,13,0,0,1.6,5
"PrettyGirl86875","2789477",1,6,0,1,0,0,0,1,0,6,0,0,1.65,0
"RVENGE","2905162",4,18,1,11,0,6,17,0,0,10,1,0,1.56,0
"RatTaco","2369960",0,62,0,0,0,0,0,0,0,37,0,0,2.44,0
"TheArmadylo","2740738",0,1,0,0,0,0,0,0,0,1,0,0,1.2,0
"WaterBoy61","625493",0,6,0,0,0,0,0,0,0,6,0,0,1.24,0
"Wildflowers","3410726",2,130,0,0,1,1,1,0,0,99,0,21,2.7,0
"WinstonXXX","2975024",0,12,0,1,0,1,3,0,0,12,0,0,1.87,0
"tino","1922360",0,0,0,2,0,1,0,0,1,2,1,0,1.68,0
"xentac","3354782",3,64,0,0,0,1,0,0,1,57,0,17,1.84,0
